Numero,Nombre_ER,Tabla_BD,Estado,Descripcion_Funcional,Campos_Principales,Relaciones,Proposito_Negocio,Casos_Uso
1,TimbradoRebate,stamped_rebate,✅ Ya existía,"Descuentos/rebates que han sido timbrados fiscalmente por el PAC. Tabla padre que contiene el documento fiscal del descuento.","document_number (folio único), reference_number, status (0=Borrador 1=Timbrado 2=Cancelado)","1:N con rebate - Un timbrado tiene múltiples líneas de descuento","Cuando se genera un descuento para un proveedor, este documento fiscal se timbra ante el SAT. Guarda el envoltorio fiscal del descuento.","Timbrar descuentos, Generar XML fiscal, Cancelar timbrado ante SAT"
2,Rebate,rebate,✅ Ya existía,"Descuentos o rebates individuales aplicados a proveedores. Cada registro es una línea de descuento con su monto, periodo y documento SAP.","document_number (FK stamped_rebate), vendor_number, amount (DECIMAL 15,2), sap_document, period_id, due_date, status (0=Pendiente 1=Aplicado 2=Cancelado)","N:1 con stamped_rebate - Muchos rebates en un timbrado, N:1 con sap_document (conceptual)","Gestiona descuentos comerciales aplicados a proveedores (devoluciones, bonificaciones, descuentos por volumen). Se restan de las cuentas por pagar.","Aplicar descuento por volumen, Registrar devolución, Bonificación trimestral, Integrar con SAP"
3,DocumentoSap,sap_document,✅ Ya existía,"Documentos integrados desde SAP hacia el sistema. Registros contables provenientes del ERP corporativo.","document_number, reference_number, vendor_number, amount, doc_sap (15 chars), sap_status (0=Pendiente 1=Integrado 2=Error 3=Cancelado), document_type (RE KR etc), message","Standalone - Se relaciona por document_number conceptualmente","Sincronización bidireccional con SAP. Cuando se generan documentos financieros se envían a SAP y esta tabla guarda el tracking de la integración.","Enviar recepción a SAP, Consultar estado de integración, Reintentar documentos con error, Auditoría SAP"
4,GuiaEmbarque,shipping_guide,✅ Ya existía,"Guías de embarque o remisiones que documentan el envío físico de mercancía desde proveedores hasta almacenes.","guide_number (único), vendor_number, truck_plate, trailer_plate, driver_name, driver_license, source_id, destination_id, delivery_type, amount, status (0=Borrador 1=Tránsito 2=Entregado 3=Cancelado), delivery_date, estimated_arrival, actual_arrival","N:1 con purchase_order (via pivot), 1:N con shipping_guide_document, M:N con purchase_order (consolidación)","Control logístico de envíos. Permite rastrear mercancía desde que sale del proveedor hasta que llega al almacén con información del transporte y documentación.","Registrar envío proveedor, Rastrear camión en tránsito, Validar llegada almacén, Consolidar múltiples OCs en una guía"
5,GuiaEmbarqueDocumento,shipping_guide_document,🟢 Creada hoy,"Documentos digitales adjuntos a las guías de embarque (PDFs, imágenes, Excel).","shipping_guide_id (FK), file_name, file_type (1=PDF 2=Excel 3=Imagen), status","N:1 con shipping_guide - Muchos documentos por guía","Digitalización de documentación logística. Permite adjuntar remisión firmada, fotos de carga, comprobantes de entrega, cartas porte.","Subir PDF guía firmada, Adjuntar fotos de mercancía, Guardar carta porte, Comprobante de entrega"
6,Pagos,finanzas_payments,🟢 Creada hoy,"Pagos realizados a proveedores desde el sistema financiero. NO son complementos de pago CFDI (esos están en fiscal-api).","company (1=FBC), document_number, document_reference, vendor_number, amount (DECIMAL 15,2), currency (MXN USD EUR), document_type (PP=Pago proveedor), sap_document, payment_date, status (0=Borrador 1=Activo 2=Procesado 3=Cancelado)","Standalone - Relacionado conceptualmente con accounts_payable y rebates","Tracking de pagos efectuados a proveedores. Registro operacional del pago (NO comprobante fiscal CFDI). Diferencia: finanzas_payments=registro operacional, payments(fiscal-api)=CFDI timbrado.","Registrar pago a proveedor, Consultar pagos del mes, Conciliar vs SAP, Reportes de pagos por proveedor"
7,OrdenCompra,purchase_order,✅ Ya existía,"Órdenes de compra (OC) emitidas a proveedores. Documento que formaliza solicitud de compra de mercancía o servicios.","order_number (único alfanumérico), vendor_number, source_id, total_amount, currency (MXN USD), status (0=Borrador 1=Aprobada 2=En proceso 3=Completada 4=Cancelada), order_date, delivery_date, terms_and_conditions","1:N con reception - Una OC múltiples recepciones, M:N con shipping_guide - Consolidación logística","Documento base de cualquier compra. Inicia flujo: OC → Recepción → Pago. Define qué se compra, a quién, cuánto cuesta y cuándo se entrega.","Crear OC para proveedor, Aprobar OC gerencia, Enviar OC proveedor, Dar seguimiento cumplimiento, Recepciones parciales"
8,Recepcion,reception,🟢 Creada hoy,"Recepciones de mercancía en almacén. Documenta llegada física de productos comprados mediante una orden de compra.","purchase_order_uuid (FK), origin_id, destination_id, amount, status (0=Borrador 1=Confirmado 2=En proceso 3=Completado 4=Cancelado), comment, reception_date","N:1 con purchase_order - Muchas recepciones por OC (entregas parciales), 1:N con reception_sku - Una recepción múltiples SKUs","Control de recepción de mercancía. Permite entregas parciales de una OC. Ejemplo: OC 1000 unidades puede recibirse en 3 entregas (400+300+300).","Registrar llegada mercancía, Validar cantidad vs OC, Detectar faltantes/sobrantes, Reportes cumplimiento proveedores, Confirmar recepción (inmutable)"
9,[ReceptionSku],reception_sku,🟢 Creada hoy,"Detalle línea por línea de cada recepción. Especifica qué productos (SKUs) se recibieron, cantidad y costo.","reception_id (FK), sku (15 chars), description, quantity (hasta 6 decimales), unit_cost, total_cost (quantity*unit_cost), status","N:1 con reception - Muchos SKUs por recepción","Detalle exacto de lo recibido. Si una recepción incluye 10 productos diferentes habrá 10 registros. Ejemplo: Recepción R-001 con 50 laptops@$12000 + 50 monitores@$3000 + 50 teclados@$500 = Total $775,000","Detallar productos recibidos, Validar SKU vs OC, Calcular costos totales, Inventario por recepción"
10,[ShipGuide-PO],shipping_guide_purchase_order,🟢 Creada hoy,"Tabla pivot many-to-many que relaciona guías de embarque con órdenes de compra. Permite consolidación logística.","shipping_guide_id (FK), purchase_order_id (FK), UNIQUE constraint (evita duplicados)","M:N - Una guía varias OCs, Una OC varias guías","Consolidación logística. Mismo camión puede traer mercancía de 3 órdenes diferentes, o una orden grande puede venir en 2 camiones distintos.","Consolidar: Guía GE-001 trae OC-001+OC-002+OC-003, Fraccionar: OC-001 grande en GE-001+GE-002, Rastreo: ¿En qué guía vino OC-123?"
