Numero,Tabla_ER,Tabla_BD,Entity_Existe,CREATE_TABLE_Existe,Indexes_Creados,FKs_Implementadas,Estado_Final,Prioridad_Implementacion,Linea_Migration,Conformidad_ER,Notas_Tecnicas
1,TimbradoRebate,stamped_rebate,✅ Sí,✅ Sí (1700000000001),✅ Sí,❌ No (standalone),✅ Completo,Ya implementado,Línea 418,90%,"Falta campo vendor_number del ER, Falta fechaRespaldo"
2,Rebate,rebate,✅ Sí,✅ Sí (1700000000001),✅ Sí,✅ Sí (FK stamped_rebate),✅ Completo,Ya implementado,Línea 438,95%,"FK document_number → stamped_rebate correcta, Falta campo rebate_type_id, Falta fechaRespaldo"
3,DocumentoSap,sap_document,✅ Sí,✅ Sí (1700000000001),✅ Sí,❌ No (standalone),✅ Completo,Ya implementado,Línea 467,100%,"100% match con ER, Solo falta fechaRespaldo (no crítico)"
4,GuiaEmbarque,shipping_guide,✅ Sí,✅ Sí (1700000000001),✅ Sí,⚠️ Parcial (via pivot),✅ Completo,Ya implementado,Línea 576,95%,"Relación M:N con PO via tabla pivot ahora implementada, Falta fechaRespaldo"
5,GuiaEmbarqueDocumento,shipping_guide_document,✅ Sí,🟢 Sí (1700000000003),🟢 Sí (2 indexes),✅ Sí (FK shipping_guide),🟢 Creado hoy,Prioridad 3 - Completitud,Línea 193 (nueva),100%,"Implementación completa con ON DELETE CASCADE, SMALLINT para file_type"
6,Pagos,finanzas_payments,✅ Sí,🟢 Sí (1700000000003),🟢 Sí (5 indexes),❌ No (standalone),🟢 Creado hoy,Prioridad 1 - Crítico,Línea 124 (nueva),100%,"100% match con ER, Incluye mejora currency para multi-moneda, 2 CHECK constraints"
7,OrdenCompra,purchase_order,✅ Sí,✅ Sí (1700000000001),✅ Sí,⚠️ Parcial (FK implícitas),✅ Completo,Ya implementado,Línea 542,95%,"Refactorización: origin_id→source_id, UUID en lugar de ID, Campos EXTRA útiles agregados"
8,Recepcion,reception,✅ Sí,🟢 Sí (1700000000003),🟢 Sí (4 indexes),✅ Sí (FK purchase_order),🟢 Creado hoy,Prioridad 1 - Crítico,Línea 21 (nueva),100%,"FK ON DELETE CASCADE, 4 estados validados, Relación bidireccional con PO correcta"
9,[ReceptionSku],reception_sku,✅ Sí,🟢 Sí (1700000000003),🟢 Sí (2 indexes),✅ Sí (FK reception),🟢 Creado hoy,Prioridad 1 - Crítico,Línea 73 (nueva),100%,"FK ON DELETE CASCADE, NUMERIC(20,6) para cantidades fraccionarias, Campos NOT NULL correctos"
10,[ShipGuide-PO],shipping_guide_purchase_order,✅ Sí,🟢 Sí (1700000000003),🟢 Sí (2 indexes),✅ Sí (2 FKs),🟢 Creado hoy,Prioridad 3 - Completitud,Línea 238 (nueva),100%,"Tabla pivot M:N correcta, UNIQUE constraint para evitar duplicados, Doble FK con CASCADE"
