Fase,Orden_Flujo,Tabla_Principal,Tablas_Relacionadas,Dependencias_Tecnicas,Descripcion_Flujo,Documentos_Generados,Integracion_SAP,Usuario_Responsable,Tiempo_Estimado
1. COMPRA,1,purchase_order,N/A,Requiere: vendor_number + source_id,"Se crea orden de compra para proveedor. Define QUÉ se compra, CUÁNTO cuesta, CUÁNDO se entrega.","OC en PDF, Email al proveedor, Requisición interna",📤 Envío OC a SAP (doc_type=ME),Comprador / Gerente Compras,15-30 min por OC
2. LOGÍSTICA,2,shipping_guide,purchase_order (M:N),Requiere: PO aprobada,"Proveedor genera guía de embarque con datos del camión y transportista. Se vincula con una o más OCs.","Guía de embarque, Remisión, Carta porte",📤 Notificación a SAP,Proveedor / Coord. Logística,10 min por guía
2. LOGÍSTICA,3,shipping_guide_purchase_order,shipping_guide + purchase_order,Requiere: shipping_guide_id + purchase_order_id,"Tabla pivot que relaciona guías con órdenes. Permite consolidación (1 guía = N órdenes) o fraccionamiento (1 orden = N guías).",Reporte de consolidación,N/A,Sistema automático,< 1 segundo
2. LOGÍSTICA,4,shipping_guide_document,shipping_guide,Requiere: shipping_guide_id + archivo digital,"Se adjuntan documentos a la guía: PDF firmado, fotos de carga, comprobantes.","PDFs, JPGs, XMLs adjuntos",N/A,Chofer / Almacenista,5 min por documento
3. RECEPCIÓN,5,reception,purchase_order,Requiere: PO aprobada + mercancía física llegada,"Mercancía llega al almacén. Se registra recepción vinculada a OC. Permite entregas parciales.","Acta de recepción, Reporte de diferencias",📤 Recepción a SAP (MIGO),Almacenista / Supervisor,20-45 min por recepción
3. RECEPCIÓN,6,reception_sku,reception,Requiere: reception_id + SKUs de la OC,"Se detalla línea por línea qué SKUs llegaron, cantidades, costos. Validación contra OC.","Lista detallada de productos, Etiquetas de inventario",📤 Movimiento inventario SAP,Almacenista,30-60 min (depende de # SKUs)
4. DESCUENTOS,7,stamped_rebate,N/A (puede ser previo a rebate),Requiere: document_number único,"Se genera descuento/rebate para proveedor. Se timbra fiscalmente ante SAT (documento padre).","XML timbrado, PDF CFDI, Acuse SAT",📤 Nota crédito a SAP,Analista Finanzas,15-20 min por timbrado
4. DESCUENTOS,8,rebate,stamped_rebate,Requiere: stamped_rebate.document_number,"Se registran líneas individuales de descuento. Cada línea tiene monto, periodo, proveedor.","Detalle de descuentos por línea, Reporte de rebates del periodo",📤 Documento KR SAP,Analista Finanzas,5-10 min por línea
5. PAGOS,9,finanzas_payments,accounts_payable (conceptual),Requiere: Facturas del proveedor + aprobación,"Se registra pago efectuado al proveedor. Registro operacional (NO CFDI). Incluye referencia, monto, fecha.","Comprobante de pago interno, Reporte de pagos",📤 Pago a SAP (F-53),Tesorería,10-15 min por pago
5. PAGOS,10,payments (fiscal-api),finanzas_payments (conceptual),Requiere: finanzas_payment registrado,"Se genera complemento de pago CFDI 4.0. Se timbra ante SAT. Documento fiscal del pago.","XML complemento de pago, PDF CFDI, Acuse SAT",📥 Recepción desde SAP,Fiscal / Contador,20-30 min por CFDI
6. INTEGRACIÓN,11,sap_document,Todas las anteriores,Requiere: Cualquier transacción financiera,"Cada documento enviado/recibido de SAP se registra aquí. Tracking de integración y errores.","Log de integración, Reporte de errores SAP, Dashboard SAP",🔄 Sincronización bidireccional,Sistema automático / Soporte TI,Automático (< 5 seg)
